id,group
2,2
3,0
4,2
5,2
6,0
7,2
11,0
12,2
13,0
14,2
15,2
16,0
17,2
21,0
22,2
23,0
24,2
25,2
26,0
27,2
31,0
32,2
33,0
34,2
35,2
36,0
37,2
41,2
42,0
43,2
44,0
45,0
46,2
47,0
51,0
52,2
53,0
54,2
55,2
56,0
57,2
61,0
62,2
63,0
64,2
65,2
66,0
67,2
71,0
72,0
73,2
74,0
75,2
76,0
77,2
81,2
82,0
83,2
84,0
85,2
86,0
87,0
91,0
92,2
93,0
94,2
95,0
96,2
97,2
103,0
104,2
105,0
106,2
111,0
112,2
113,0
114,2
115,0
116,2
117,2
122,2
123,0
124,2
125,0
132,2
133,0
134,2
135,0
136,2
137,2
138,0
142,2
143,0
144,2
145,0
146,2
147,0
151,0
152,2
153,0
155,0
156,2
161,0
162,2
164,2
171,0
