instance,alg,candName,targName,conf,realConf
o1012o301,exact,monograph,hasyear,0.0,0.0
o1012o301,exact,monograph,misc,0.0,0.0
o1012o301,exact,monograph,hasnote,0.0,0.0
o1012o301,exact,monograph,hasmrnumber,0.0,0.0
o1012o301,exact,monograph,hasissn,0.0,0.0
o1012o301,exact,monograph,haskey,0.0,0.0
o1012o301,exact,monograph,hasseries,0.0,0.0
o1012o301,exact,monograph,pagechapterdata,0.0,0.0
o1012o301,exact,monograph,hasnumber,0.0,0.0
o1012o301,exact,monograph,manual,0.0,0.0
o1012o301,exact,monograph,hasseries,0.0,0.0
o1012o301,exact,monograph,hasurl,0.0,0.0
o1012o301,exact,monograph,misc,0.0,0.0
o1012o301,exact,monograph,hasyear,0.0,0.0
o1012o301,exact,monograph,unpublished,0.0,0.0
o1012o301,exact,monograph,howpublished,0.0,0.0
o1012o301,exact,monograph,hasannotation,0.0,0.0
o1012o301,exact,monograph,haslocation,0.0,0.0
o1012o301,exact,monograph,book,0.0,0.0
o1012o301,exact,monograph,haskey,0.0,0.0
o1012o301,exact,monograph,techreport,0.0,0.0
o1012o301,exact,monograph,proceedings,0.0,0.0
o1012o301,exact,monograph,hasnumber,0.0,0.0
o1012o301,exact,monograph,hasprice,0.0,0.0
o1012o301,exact,monograph,hasinstitution,0.0,0.0
o1012o301,exact,monograph,hasaddress,0.0,0.0
o1012o301,exact,monograph,inproceedings,0.0,0.0
o1012o301,exact,monograph,hasjournal,0.0,0.0
o1012o301,exact,monograph,haspublisher,0.0,0.0
o1012o301,exact,monograph,hasisbn,0.0,0.0
o1012o301,exact,monograph,proceedings,0.0,0.0
o1012o301,exact,monograph,booklet,0.0,0.0
o1012o301,exact,monograph,hasorganization,0.0,0.0
o1012o301,exact,monograph,hascopyright,0.0,0.0
o1012o301,exact,monograph,hasedition,0.0,0.0
o1012o301,exact,monograph,inbook,0.0,0.0
o1012o301,exact,monograph,phdthesis,0.0,0.0
o1012o301,exact,monograph,haslanguage,0.0,0.0
o1012o301,exact,monograph,haskeywords,0.0,0.0
o1012o301,exact,monograph,hascopyright,0.0,0.0
o1012o301,exact,monograph,hasaffiliation,0.0,0.0
o1012o301,exact,monograph,hasinstitution,0.0,0.0
o1012o301,exact,monograph,hassize,0.0,0.0
o1012o301,exact,monograph,humancreator,0.0,0.0
o1012o301,exact,monograph,haslccn,0.0,0.0
o1012o301,exact,monograph,howpublished,0.0,0.0
o1012o301,exact,monograph,hasorganization,0.0,0.0
o1012o301,exact,monograph,hasisbn,0.0,0.0
o1012o301,exact,monograph,hasjournal,0.0,0.0
o1012o301,exact,monograph,hasissn,0.0,0.0
o1012o301,exact,monograph,hasprice,0.0,0.0
o1012o301,exact,monograph,haslocation,0.0,0.0
o1012o301,exact,monograph,hasauthortest,0.0,0.0
o1012o301,exact,monograph,inproceedings,0.0,0.0
o1012o301,exact,monograph,hasmrnumber,0.0,0.0
o1012o301,exact,monograph,inbook,0.0,0.0
o1012o301,exact,monograph,hastype,0.0,0.0
o1012o301,exact,monograph,hasauthor,0.0,0.0
o1012o301,exact,monograph,hastype,0.0,0.0
o1012o301,exact,monograph,haschapter,0.0,0.0
o1012o301,exact,monograph,hasauthor,0.0,0.0
o1012o301,exact,monograph,hasaddress,0.0,0.0
o1012o301,exact,monograph,haslccn,0.0,0.0
o1012o301,exact,monograph,conference,0.0,0.0
o1012o301,exact,monograph,hasabstract,0.0,0.0
